Vds_at_Vgs_0.4V,Id,Vds_at_Vgs_0.5V,Id,Vds_at_Vgs_0.6V,Id,Vds_at_Vgs_0.7V,Id,Vds_at_Vgs_0.8V,Id
0.6080000000000004,3.589296867334187e-06,0.6080000000000004,1.587149061025608e-05,0.6080000000000004,3.958489895063572e-05,0.6080000000000004,7.091069810768797e-05,0.6080000000000004,0.0001044730478769836
0.6240000000000004,3.619480177399445e-06,0.6240000000000004,1.596859052104381e-05,0.6240000000000004,3.978279635381957e-05,0.6240000000000004,7.123319288678935e-05,0.6240000000000004,0.0001049416772198794
0.6400000000000005,3.649599529789238e-06,0.6400000000000005,1.606478939845746e-05,0.6400000000000005,3.997733681393705e-05,0.6400000000000005,7.154740507768195e-05,0.6400000000000005,0.0001053945126937055
0.6560000000000005,3.679666486019608e-06,0.6560000000000005,1.616015629897474e-05,0.6560000000000005,4.016876841005784e-05,0.6560000000000005,7.185399314782692e-05,0.6560000000000005,0.0001058328780297726
0.6720000000000005,3.70969163688358e-06,0.6720000000000005,1.625475405166447e-05,0.6720000000000005,4.035731449213905e-05,0.6720000000000005,7.215354448090967e-05,0.6720000000000005,0.0001062579502702928
0.6880000000000005,3.739684704711519e-06,0.6880000000000005,1.634863995275002e-05,0.6880000000000005,4.054317674371193e-05,0.6880000000000005,7.244658470569007e-05,0.6880000000000005,0.0001066707789806184
0.7040000000000005,3.769654633278751e-06,0.7040000000000005,1.644186637046032e-05,0.7040000000000005,4.072653780121644e-05,0.7040000000000005,7.273358562369335e-05,0.7040000000000005,0.0001070723026583801
0.7200000000000005,3.799609666971198e-06,0.7200000000000005,1.653448127296675e-05,0.7200000000000005,4.090756350224199e-05,0.7200000000000005,7.301497196800226e-05,0.7200000000000005,0.0001074633627770083
0.7360000000000005,3.82955742060932e-06,0.7360000000000005,1.662652869026887e-05,0.7360000000000005,4.108640482198708e-05,0.7360000000000005,7.329112718326403e-05,0.7360000000000005,0.0001078447158307845
0.7520000000000006,3.859504941142774e-06,0.7520000000000006,1.671804911925281e-05,0.7520000000000006,4.12631995468175e-05,0.7520000000000006,7.356239838502114e-05,0.7520000000000006,0.0001082170436893007
0.7680000000000006,3.88945876226491e-06,0.7680000000000006,1.680907987975727e-05,0.7680000000000006,4.143807372535593e-05,0.7680000000000006,7.382910062805428e-05,0.7680000000000006,0.0001085809625195008
0.7840000000000006,3.919424952852456e-06,0.7840000000000006,1.689965542831627e-05,0.7840000000000006,4.161114293066821e-05,0.7840000000000006,7.409152059102285e-05,0.7840000000000006,0.0001089370304918496
0.8,3.949409160012872e-06,0.8,1.698980763525719e-05,0.8,4.178251336151199e-05,0.8,7.434991976688089e-05,0.8,0.0001092857544524702
